"","Contig","moduleColor"
"266","Phel_clc_contig_3095","brown"
"267","Phel_clc_contig_6655","lightcyan"
"268","Phel_clc_contig_17308","midnightblue"
"269","Phel_clc_contig_5839","midnightblue"
"270","Phel_clc_contig_9499","midnightblue"
"271","Phel_clc_contig_14944","blue"
"272","Phel_clc_contig_8821","blue"
"273","Phel_clc_contig_10626","magenta"
"274","Phel_clc_contig_1539","turquoise"
"275","Phel_clc_contig_21725","turquoise"
"276","Phel_clc_contig_7401","royalblue"
"277","Phel_clc_contig_14430","lightgreen"
"278","Phel_clc_contig_15097","pink"
"279","Phel_clc_contig_13974","tan"
"280","Phel_clc_contig_2093","cyan"
"281","Phel_clc_contig_3697","cyan"
"282","Phel_clc_contig_17140","cyan"
"283","Phel_clc_contig_8381","midnightblue"
"284","Phel_clc_contig_4325","midnightblue"
"285","Phel_clc_contig_10349","salmon"
"286","Phel_clc_contig_2408","salmon"
"287","Phel_clc_contig_7999","lightgreen"
"288","Phel_clc_contig_8285","salmon"
"289","Phel_clc_contig_12792","salmon"
"290","Phel_clc_contig_2528","blue"
"291","Phel_clc_contig_4994","cyan"
"292","Phel_clc_contig_7747","darkred"
"293","Phel_clc_contig_9238","brown"
"294","Phel_clc_contig_8752","darkred"
"295","Phel_clc_contig_5143","cyan"
"296","Phel_clc_contig_5942","cyan"
"297","Phel_clc_contig_6709","cyan"
"298","Phel_clc_contig_12417","cyan"
"299","Phel_clc_contig_10803","cyan"
"300","Phel_clc_contig_4105","cyan"
"301","Phel_clc_contig_5324","cyan"
"302","Phel_clc_contig_29720","cyan"
"303","Phel_clc_contig_3158","salmon"
"304","Phel_clc_contig_9166","cyan"
"305","Phel_clc_contig_12811","lightgreen"
"306","Phel_clc_contig_25090","lightgreen"
"307","Phel_clc_contig_2074","blue"
"308","Phel_clc_contig_21596","magenta"
"309","Phel_clc_contig_11604","royalblue"
"310","Phel_clc_contig_3930","royalblue"
"311","Phel_clc_contig_12498","blue"
"312","Phel_clc_contig_15642","blue"
"313","Phel_clc_contig_9087","blue"
"314","Phel_clc_contig_28718","blue"
"315","Phel_clc_contig_1828","lightyellow"
"316","Phel_clc_contig_9874","lightyellow"
"317","Phel_clc_contig_11579","blue"
"318","Phel_clc_contig_17926","blue"
"319","Phel_clc_contig_7564","lightyellow"
"320","Phel_clc_contig_8096","blue"
"321","Phel_clc_contig_12743","blue"
"322","Phel_clc_contig_13620","green"
"323","Phel_clc_contig_4830","blue"
"324","Phel_clc_contig_3342","green"
"325","Phel_clc_contig_17646","yellow"
"326","Phel_clc_contig_13176","blue"
"327","Phel_clc_contig_6154","blue"
"328","Phel_clc_contig_5425","lightyellow"
